id,name
1000703-031,好修里
1000703-032,仁愛里
1000704-001,線西村
1000704-002,頂庄村
1000704-003,寓埔村
1000704-004,塭仔村
1000704-005,溝內村
1000704-006,下犁村
1000704-007,頂犁村
1000704-008,德興村
1000705-001,曾家村
1000705-002,蚵寮村
1000705-003,埤墘村
1000705-004,溪底村
1000705-005,泉州村
1000705-006,泉厝村
1000705-007,海尾村
1000705-008,全興村
1000705-009,定興村
1000705-010,新港村
1000705-011,什股村
1000705-012,大同村
1000705-013,七嘉村
1000705-014,汴頭村
1000706-001,番社村
1000706-002,社尾村
1000706-003,大崙村
1000706-004,外埔村
1000706-005,外中村
1000706-006,元中村
1000706-007,三汴村
1000706-008,萬豐村
1000706-009,番婆村
1000706-010,橋頭村
1000706-011,秀厝村
1000706-012,鎮平村
1000706-013,三和村
1000706-014,麥厝村
1000706-015,廈粘村
1000706-016,頂粘村
1000706-017,福寶村
1000706-018,二港村
1000706-019,福興村
1000706-020,福南村
1000706-021,同安村
1000706-022,西勢村
1000707-001,秀水村
1000707-002,安溪村
1000707-003,莊雅村
1000707-004,金興村
1000707-005,陝西村
1000707-006,安東村
1000707-007,鶴鳴村
1000707-008,馬興村
1000707-009,義興村
1000707-010,福安村
1000707-011,埔崙村
1000707-012,曾厝村
1000707-013,金陵村
1000707-014,下崙村
1000708-001,花壇村
1000708-002,金墩村
1000708-003,中庄村
1000708-004,劉厝村
1000708-005,崙雅村
1000708-006,南口村
1000708-007,中口村
1000708-008,北口村
1000708-009,長沙村
1000708-010,文德村
1000708-011,白沙村
1000708-012,岩竹村
1000708-013,橋頭村
1000708-014,灣雅村
1000708-015,灣東村
1000708-016,三春村
1000708-017,永春村
1000708-018,長春村
1000709-001,舊社村
1000709-002,大埔村
1000709-003,竹林村
1000709-004,社口村
1000709-005,茄荖村
1000709-006,嘉興村
1000709-007,芬園村
1000709-008,縣庄村
1000709-009,圳墘村
1000709-010,溪頭村
1000709-011,進芬村
1000709-012,同安村
1000709-013,中崙村
1000709-014,大竹村
1000709-015,楓坑村
1000710-001,東和里
1000710-002,民生里
1000710-003,中正里
1000710-004,仁美里
1000710-005,新興里
1000710-006,和平里
1000710-007,光明里
1000710-008,中山里
1000710-009,黎明里
1000710-010,惠來里
1000710-011,三義里
1000710-012,新生里
1000710-013,南平里
1000710-014,南興里
1000710-015,源潭里
1000710-016,大埔里
1000710-017,三條里
1000710-018,三和里
1000710-019,三橋里
1000710-020,中央里
1000710-021,溝皂里
1000710-022,大饒里
1000710-023,大明里
1000710-024,萬年里
1000710-025,崙雅里
1000710-026,振興里
1000710-027,林厝里
1000710-028,出水里
1000710-029,湖水里
1000710-030,大峯里
1000710-031,鎮興里
1000710-032,浮圳里
1000710-033,西東里
1000710-034,南東里
1000710-035,中東里
1000710-036,東北里
1000710-037,三愛里
1000710-038,三信里
1000710-039,三多里
1000710-040,仁愛里
1000710-041,忠孝里
1000711-001,光平里
1000711-002,平和里
1000711-003,太平里
1000711-004,光華里
1000711-005,東寮里
1000711-006,西寮里
1000711-007,大突里
1000711-008,北勢里
1000711-009,汴頭里
1000711-010,大竹里
1000711-011,湖西里
1000711-012,田中里
1000711-013,河東里
1000711-014,中山里
1000711-015,中竹里
1000711-016,東溪里
1000711-017,西溪里
1000711-018,湖東里
1000711-019,頂庄里
1000711-020,忠覺里
1000711-021,湳底里
1000711-022,大庭里
1000711-023,媽厝里
1000711-024,西勢里
1000711-025,番婆里
1000712-001,香山里
1000712-002,碧峰里
1000712-003,東源里
1000712-004,復興里
1000712-005,平和里
1000712-006,頂潭里
1000712-007,中潭里
1000712-008,龍潭里
1000712-009,北路里
1000712-010,西路里
1000712-011,東路里
1000712-012,南路里
1000712-013,中路里
1000712-014,新庄里
1000712-015,三安里
1000712-016,大崙里
1000712-017,沙崙里
1000712-018,新民里
1000712-019,梅州里
1000712-020,三民里
1000712-021,三光里
1000712-022,大社里
1000713-001,大村村
1000713-002,茄苳村
1000713-003,南勢村
1000713-004,田洋村
1000713-005,新興村
1000713-006,過溝村
1000713-007,美港村
1000713-008,平和村
1000713-009,貢旗村
1000713-010,加錫村
1000713-011,村上村
1000713-012,大橋村
1000713-013,大崙村
1000713-014,擺塘村
1000713-015,黃厝村
1000713-016,福興村
1000714-001,埔鹽村
1000714-002,埔南村
1000714-003,廍子村
1000714-004,出水村
1000714-005,南港村
1000714-006,打廉村
1000714-007,豐澤村
1000714-008,崑崙村
1000714-009,角樹村
1000714-010,瓦磘村
1000714-011,好修村
1000714-012,西湖村
1000714-013,大有村
1000714-014,新興村
1000714-015,永平村
